location_id,process_id,date,poll,timezone,unit,source,value
2+26,station_day_mad,2019-02-08,pm10,Asia/Shanghai,µg/m3,mee,70.42171629621761
2+26,station_day_mad,2019-02-08,pm25,Asia/Shanghai,µg/m3,mee,42.991544180634655
2+26,station_day_mad,2019-02-09,pm10,Asia/Shanghai,µg/m3,mee,70.96451050988058
2+26,station_day_mad,2019-02-09,pm25,Asia/Shanghai,µg/m3,mee,49.24305473671682
2+26,station_day_mad,2019-02-10,pm10,Asia/Shanghai,µg/m3,mee,128.57666055060938
2+26,station_day_mad,2019-02-10,pm25,Asia/Shanghai,µg/m3,mee,99.63455165186177
2+26,station_day_mad,2019-02-11,pm10,Asia/Shanghai,µg/m3,mee,143.3391842013897
2+26,station_day_mad,2019-02-11,pm25,Asia/Shanghai,µg/m3,mee,110.06837651484558
2+26,station_day_mad,2019-02-12,pm10,Asia/Shanghai,µg/m3,mee,111.26858700836722
2+26,station_day_mad,2019-02-12,pm25,Asia/Shanghai,µg/m3,mee,82.68802065013702
2+26,station_day_mad,2019-02-13,pm10,Asia/Shanghai,µg/m3,mee,84.07877938977877
2+26,station_day_mad,2019-02-13,pm25,Asia/Shanghai,µg/m3,mee,70.85654270160556
2+26,station_day_mad,2019-02-14,pm10,Asia/Shanghai,µg/m3,mee,98.85167438074669
2+26,station_day_mad,2019-02-14,pm25,Asia/Shanghai,µg/m3,mee,74.15820404488551
2+26,station_day_mad,2019-02-15,pm10,Asia/Shanghai,µg/m3,mee,78.93688445313944
2+26,station_day_mad,2019-02-15,pm25,Asia/Shanghai,µg/m3,mee,54.036292820470536
2+26,station_day_mad,2019-02-16,pm10,Asia/Shanghai,µg/m3,mee,86.40263033821013
2+26,station_day_mad,2019-02-16,pm25,Asia/Shanghai,µg/m3,mee,60.04130980290667
2+26,station_day_mad,2019-02-17,pm10,Asia/Shanghai,µg/m3,mee,99.1270116634149
2+26,station_day_mad,2019-02-17,pm25,Asia/Shanghai,µg/m3,mee,72.20809559873706
2+26,station_day_mad,2019-02-18,pm10,Asia/Shanghai,µg/m3,mee,146.62896283051518
2+26,station_day_mad,2019-02-18,pm25,Asia/Shanghai,µg/m3,mee,123.4639022492999
2+26,station_day_mad,2019-02-19,pm10,Asia/Shanghai,µg/m3,mee,205.53064928948749
2+26,station_day_mad,2019-02-19,pm25,Asia/Shanghai,µg/m3,mee,165.58778798317445
2+26,station_day_mad,2019-02-20,pm10,Asia/Shanghai,µg/m3,mee,212.00997877101776
2+26,station_day_mad,2019-02-20,pm25,Asia/Shanghai,µg/m3,mee,164.8833922166258
2+26,station_day_mad,2019-02-21,pm10,Asia/Shanghai,µg/m3,mee,233.4475924629494
2+26,station_day_mad,2019-02-21,pm25,Asia/Shanghai,µg/m3,mee,183.60289701209476
2+26,station_day_mad,2019-02-22,pm10,Asia/Shanghai,µg/m3,mee,197.25264439281204
2+26,station_day_mad,2019-02-22,pm25,Asia/Shanghai,µg/m3,mee,152.8207425183512
2+26,station_day_mad,2019-02-23,pm10,Asia/Shanghai,µg/m3,mee,190.311659955606
2+26,station_day_mad,2019-02-23,pm25,Asia/Shanghai,µg/m3,mee,148.25726080916704
